2023:12:30:20:07:38; 11135.637872695923; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:09:21; 11238.714847803116; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:11:03; 11340.573943853378; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:12:44; 11442.371653079987; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:14:28; 11546.073794603348; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:16:09; 11646.561684131622; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:17:52; 11749.980155706406; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:19:36; 11853.903032541275; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
2023:12:30:20:21:13; 11950.943655490875; 3091499.3393319957; ["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"]
--------------------------------------------
["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"], 3091499.3393319957
["ä","c","l","g","v","p","m","o","t","w","ö","#'","d","a","r","u","h","z","n","e€","i","s",".:","+*~","x","q@",",;","k","-_","b","j","ü","y","f","<>|"], 3091502.4813100165
["q@","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","ä",",;","k","-_","b","j","ü","y","f","<>|"], 3101465.832202278
["ä","c","l","g","v","p","m","o","t","w","k","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","ö","-_","b","j","ü","y","f","<>|"], 3105594.691795324
["ä","c","l","g","v","p","m","o","t","w","ö","#'","d","a","r","u","h","z","n","e€","i","s",".:","<>|","+*~","q@",",;","k","-_","b","j","ü","y","f","x"], 3112929.1402224116
["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","<>|","q@",",;","k","-_","b","j","ü","y","f","x"], 3112932.154367149
["ä","c",",;","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@","l","k","-_","b","j","ü","y","f","<>|"], 3113527.7292818595
["ä","c","l","g","v","p","m","o","t","ö","w","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","x","q@",",;","k","-_","b","j","ü","y","f","<>|"], 3117570.749421919
["ä","c","l","v","g","p","m","o","t","w","#'","+*~","d","a","r","u","h","z","n","e€","i","s",".:","ö","x","q@",",;","k","-_","b","j","ü","y","f","<>|"], 3121207.817005419
["ä","c","l","g","v","p","m","o","t","w","ö","+*~","d","a","r","u","h","z","n","e€","i","s",".:","#'","<>|","x",",;","k","-_","b","j","ü","y","f","q@"], 3121319.329773093
