2024:02:26:01:42:56; 14753.477226734161; 3134574.1032914915; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","y","k","ö","ä","v","#'"]
2024:02:26:01:44:22; 14839.258475780487; 3128164.10029373; [",;","g","w","x","p","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","#'","o","c","h","ü","ä","k","ö","y","v","<>|"]
2024:02:26:01:45:49; 14925.945976257324; 3126606.313219901; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","#'","o","c","h","x","ä","k","ö","y","v","<>|"]
2024:02:26:01:47:15; 15012.443972349167; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:01:48:44; 15101.35025024414; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:01:50:15; 15191.749927282333; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:01:51:46; 15282.890555381775; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:01:53:16; 15372.796805143356; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:01:54:44; 15461.296804904938; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:01:56:15; 15552.468671321869; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:01:57:45; 15641.794829368591; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:01:59:14; 15730.607327461243; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:00:43; 15819.700392246246; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:02:13; 15910.19897055626; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
2024:02:26:02:03:44; 16000.963163375854; 3126572.747934087; [",;","g","w","p","ü","j","b",".:","m","z","q@","-_","r","i","t","u","a","f","s","e€","n","d","l","+*~","<>|","o","c","h","x","ä","k","ö","y","v","#'"]
